model,pooling,task_variant,seq_len,hidden,seed,best_test_acc,success,steps_ran,train_time_sec,student_id,file_tag
rnn,attn,distractors,1,2,0,1.0,1,300,0.44323086738586426,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,1,2,1,1.0,1,300,0.3838024139404297,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,1,2,2,1.0,1,300,0.38216423988342285,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,2,0,1.0,1,300,0.408200740814209,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,2,1,1.0,1,300,0.3966836929321289,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,2,2,1.0,1,300,0.39156246185302734,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,2,0,1.0,1,300,0.437946081161499,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,2,1,1.0,1,300,0.44515347480773926,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,2,2,1.0,1,300,0.43752050399780273,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,2,0,1.0,1,300,0.538313627243042,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,2,1,1.0,1,300,0.4722452163696289,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,2,2,1.0,1,300,0.4854867458343506,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,2,0,1.0,1,300,0.5708825588226318,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,2,1,1.0,1,300,0.5899274349212646,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,2,2,1.0,1,300,0.6140694618225098,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,2,0,1.0,1,300,0.6802573204040527,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,2,1,1.0,1,400,0.91162109375,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,2,2,1.0,1,300,0.6714296340942383,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,2,0,1.0,1,300,0.7834103107452393,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,2,1,1.0,1,400,0.9959845542907715,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,2,2,1.0,1,300,0.7557673454284668,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,2,0,1.0,1,400,1.149665355682373,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,2,1,1.0,1,500,1.4401898384094238,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,2,2,1.0,1,400,1.1687839031219482,anon76,anon76_20260213_130150_distractors_rnn_h2_poolattn_seq1-50_n8_seed0-2
