model,pooling,task_variant,seq_len,hidden,seed,best_test_acc,success,steps_ran,train_time_sec,student_id,file_tag
rnn,attn,distractors,1,1,0,1.0,1,300,0.4696376323699951,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,1,1,1,1.0,1,300,0.4264249801635742,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,1,1,2,1.0,1,300,0.4231541156768799,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,5,1,0,1.0,1,300,0.484006404876709,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,5,1,1,1.0,1,300,0.5669147968292236,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,5,1,2,1.0,1,300,0.5033533573150635,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,10,1,0,1.0,1,300,0.5488705635070801,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,10,1,1,1.0,1,400,0.7292091846466064,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,10,1,2,1.0,1,300,0.5736770629882812,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,20,1,0,1.0,1,300,0.617825984954834,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,20,1,1,1.0,1,500,0.9984664916992188,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,20,1,2,1.0,1,400,0.8255283832550049,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,50,1,0,1.0,1,400,1.2197589874267578,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,50,1,1,1.0,1,600,1.7629318237304688,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,50,1,2,1.0,1,300,0.8998098373413086,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,100,1,0,1.0,1,400,1.7871057987213135,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
rnn,attn,distractors,100,1,1,0.607421875,0,600,2.6610405445098877,soles,"soles_20260215_124010_distractors_rnn_h[1, 2, 4, 8, 16, 32, 64, 128]_poolattn_seq1-2000_n10_seed0-2"
