model,pooling,seq_len,hidden,P_success,mean_best_acc,std_best_acc,mean_steps
rnn,attn,1,1,1.0,1.0,0.0,300.0
rnn,attn,1,2,1.0,1.0,0.0,300.0
rnn,attn,1,4,1.0,1.0,0.0,300.0
rnn,attn,1,8,1.0,1.0,0.0,300.0
rnn,attn,1,16,1.0,1.0,0.0,300.0
rnn,attn,1,32,1.0,1.0,0.0,300.0
rnn,attn,1,64,1.0,1.0,0.0,300.0
rnn,attn,1,128,1.0,1.0,0.0,300.0
rnn,attn,5,1,1.0,1.0,0.0,300.0
rnn,attn,5,2,1.0,1.0,0.0,300.0
rnn,attn,5,4,1.0,1.0,0.0,300.0
rnn,attn,5,8,1.0,1.0,0.0,300.0
rnn,attn,5,16,1.0,1.0,0.0,300.0
rnn,attn,5,32,1.0,1.0,0.0,300.0
rnn,attn,5,64,1.0,1.0,0.0,300.0
rnn,attn,5,128,1.0,1.0,0.0,300.0
rnn,attn,10,1,1.0,1.0,0.0,333.3333333333333
rnn,attn,10,2,1.0,1.0,0.0,300.0
rnn,attn,10,4,1.0,1.0,0.0,300.0
rnn,attn,10,8,1.0,1.0,0.0,300.0
rnn,attn,10,16,1.0,1.0,0.0,300.0
rnn,attn,10,32,1.0,1.0,0.0,300.0
rnn,attn,10,64,1.0,1.0,0.0,300.0
rnn,attn,10,128,1.0,1.0,0.0,300.0
rnn,attn,20,1,1.0,1.0,0.0,400.0
rnn,attn,20,2,1.0,1.0,0.0,300.0
rnn,attn,20,4,1.0,1.0,0.0,300.0
rnn,attn,20,8,1.0,1.0,0.0,300.0
rnn,attn,20,16,1.0,1.0,0.0,300.0
rnn,attn,20,32,1.0,1.0,0.0,300.0
rnn,attn,20,64,1.0,1.0,0.0,300.0
rnn,attn,20,128,1.0,1.0,0.0,300.0
rnn,attn,50,1,1.0,1.0,0.0,433.3333333333333
rnn,attn,50,2,1.0,1.0,0.0,433.3333333333333
rnn,attn,50,4,1.0,1.0,0.0,300.0
rnn,attn,50,8,1.0,1.0,0.0,300.0
rnn,attn,50,16,1.0,1.0,0.0,300.0
rnn,attn,50,32,1.0,1.0,0.0,300.0
rnn,attn,50,64,1.0,1.0,0.0,300.0
rnn,attn,50,128,1.0,1.0,0.0,300.0
rnn,attn,100,1,0.6666666666666666,0.869140625,0.22665508614670854,533.3333333333334
rnn,attn,100,2,1.0,1.0,0.0,466.6666666666667
rnn,attn,100,4,1.0,1.0,0.0,300.0
rnn,attn,100,8,1.0,1.0,0.0,300.0
rnn,attn,100,16,1.0,1.0,0.0,300.0
rnn,attn,100,32,1.0,1.0,0.0,300.0
rnn,attn,100,64,1.0,1.0,0.0,300.0
rnn,attn,100,128,1.0,1.0,0.0,300.0
rnn,attn,200,1,0.6666666666666666,0.845703125,0.2672500269491041,566.6666666666666
rnn,attn,200,2,1.0,1.0,0.0,566.6666666666666
rnn,attn,200,4,1.0,1.0,0.0,300.0
rnn,attn,200,8,1.0,1.0,0.0,300.0
rnn,attn,200,16,1.0,1.0,0.0,300.0
rnn,attn,200,32,1.0,1.0,0.0,300.0
rnn,attn,200,64,1.0,1.0,0.0,300.0
rnn,attn,200,128,1.0,1.0,0.0,300.0
rnn,attn,500,1,0.3333333333333333,0.669921875,0.28585770958110107,566.6666666666666
rnn,attn,500,2,0.3333333333333333,0.7662760416666666,0.21155448443856656,600.0
rnn,attn,500,4,1.0,1.0,0.0,333.3333333333333
rnn,attn,500,8,1.0,1.0,0.0,300.0
rnn,attn,500,16,1.0,1.0,0.0,300.0
rnn,attn,500,32,1.0,1.0,0.0,300.0
rnn,attn,500,64,1.0,1.0,0.0,300.0
rnn,attn,500,128,1.0,1.0,0.0,300.0
rnn,attn,1000,1,0.3333333333333333,0.671875,0.28416458561676894,600.0
rnn,attn,1000,2,0.0,0.5247395833333334,0.014788823817188228,600.0
rnn,attn,1000,4,1.0,1.0,0.0,366.6666666666667
rnn,attn,1000,8,1.0,1.0,0.0,333.3333333333333
rnn,attn,1000,16,1.0,1.0,0.0,300.0
rnn,attn,1000,32,1.0,1.0,0.0,300.0
rnn,attn,1000,64,1.0,1.0,0.0,300.0
rnn,attn,1000,128,1.0,1.0,0.0,300.0
rnn,attn,2000,1,0.3333333333333333,0.6764322916666666,0.2806004688667772,600.0
rnn,attn,2000,2,0.0,0.5026041666666666,0.004510548978043943,600.0
rnn,attn,2000,4,1.0,1.0,0.0,400.0
rnn,attn,2000,8,1.0,1.0,0.0,366.6666666666667
rnn,attn,2000,16,1.0,1.0,0.0,300.0
rnn,attn,2000,32,1.0,1.0,0.0,300.0
rnn,attn,2000,64,1.0,1.0,0.0,300.0
rnn,attn,2000,128,1.0,1.0,0.0,300.0
