model,pooling,task_variant,seq_len,hidden,seed,best_test_acc,success,steps_ran,train_time_sec,student_id,file_tag
gru,last,distractors,15,4,0,1.0,1,400,2.0166921615600586,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,4,1,1.0,1,300,1.588430643081665,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,4,2,1.0,1,300,1.4161882400512695,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,4,0,1.0,1,400,2.268890142440796,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,4,1,1.0,1,300,3.050765037536621,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,4,2,1.0,1,500,4.662747144699097,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,4,0,1.0,1,500,3.3153164386749268,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,4,1,1.0,1,400,3.960355043411255,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,4,2,0.521484375,0,600,4.424001216888428,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,4,0,1.0,1,500,3.967568874359131,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,4,1,1.0,1,400,3.1802144050598145,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,4,2,0.5234375,0,600,4.9549195766448975,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,4,0,1.0,1,400,3.7147216796875,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,4,1,1.0,1,400,3.539644241333008,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,4,2,0.53125,0,600,5.590162754058838,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,4,0,1.0,1,600,5.802043199539185,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,4,1,1.0,1,600,5.544977426528931,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,4,2,0.541015625,0,600,5.648929119110107,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,4,0,1.0,1,600,6.049804449081421,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,4,1,1.0,1,600,7.457371473312378,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,4,2,0.51171875,0,600,6.841652154922485,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,8,0,1.0,1,300,1.6812701225280762,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,8,1,1.0,1,300,1.674471139907837,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,8,2,1.0,1,300,1.7000994682312012,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,8,0,1.0,1,400,2.660017251968384,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,8,1,1.0,1,300,1.9400105476379395,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,8,2,1.0,1,400,2.68810772895813,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,8,0,1.0,1,600,5.02168869972229,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,8,1,1.0,1,600,4.2848570346832275,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,8,2,1.0,1,600,4.7900776863098145,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,8,0,0.5234375,0,600,5.816595077514648,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,8,1,1.0,1,600,5.250220060348511,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,8,2,0.537109375,0,600,5.102043867111206,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,8,0,0.53515625,0,600,5.560774087905884,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,8,1,0.53125,0,600,6.080108880996704,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,8,2,0.548828125,0,600,6.379728317260742,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,8,0,0.484375,0,600,7.852269887924194,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,8,1,0.55078125,0,600,7.7548394203186035,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,8,2,0.541015625,0,600,7.434898853302002,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,8,0,0.51953125,0,600,7.765122652053833,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,8,1,0.544921875,0,600,7.874905347824097,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,8,2,0.51953125,0,600,7.599908351898193,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,12,0,1.0,1,300,2.1849236488342285,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,12,1,1.0,1,300,2.155329704284668,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,12,2,1.0,1,300,2.3451056480407715,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,12,0,1.0,1,300,2.3660407066345215,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,12,1,1.0,1,300,2.5600054264068604,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,12,2,1.0,1,300,2.6821324825286865,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,12,0,1.0,1,300,2.575122833251953,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,12,1,1.0,1,300,2.2439980506896973,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,12,2,1.0,1,300,2.497863292694092,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,12,0,1.0,1,300,2.808424472808838,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,12,1,1.0,1,400,3.802170753479004,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,12,2,0.53125,0,600,7.65965723991394,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,12,0,1.0,1,400,5.822875022888184,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,12,1,0.53125,0,600,6.013907194137573,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,12,2,0.544921875,0,600,6.503873825073242,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,12,0,1.0,1,500,5.537531137466431,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,12,1,0.541015625,0,600,6.508705139160156,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,12,2,0.541015625,0,600,6.323095321655273,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,12,0,0.51953125,0,600,7.269809722900391,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,12,1,0.5390625,0,600,7.664199113845825,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,12,2,0.51953125,0,600,7.437782049179077,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,16,0,1.0,1,300,1.6271207332611084,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,16,1,1.0,1,300,1.7200508117675781,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,15,16,2,1.0,1,300,1.6085739135742188,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,16,0,1.0,1,400,2.574521064758301,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,16,1,1.0,1,300,1.9025354385375977,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,20,16,2,1.0,1,400,2.622051477432251,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,16,0,1.0,1,600,4.622813701629639,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,16,1,1.0,1,300,2.437391519546509,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,25,16,2,0.521484375,0,600,4.609205007553101,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,16,0,0.5234375,0,600,4.68797492980957,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,16,1,1.0,1,500,4.322219610214233,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,30,16,2,0.5234375,0,600,4.807590961456299,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,16,0,0.541015625,0,600,5.678101539611816,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,16,1,0.544921875,0,600,5.262716293334961,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,35,16,2,0.53125,0,600,5.469216585159302,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,16,0,0.541015625,0,600,6.365098237991333,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,16,1,0.541015625,0,600,6.349863529205322,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,40,16,2,0.541015625,0,600,5.831445217132568,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,16,0,0.51953125,0,600,6.959567546844482,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,16,1,0.533203125,0,600,6.71196436882019,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
gru,last,distractors,45,16,2,0.51953125,0,600,7.720423698425293,wbz,"wbz_20260210_230220_distractors_gru_h[4, 8, 12, 16]_poollast_seq15-45_n7_seed0-2"
