model,pooling,task_variant,seq_len,hidden,seed,best_test_acc,success,steps_ran,train_time_sec,student_id,file_tag
gru,last,distractors,23,4,0,1.0,1,500,3.438466787338257,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,23,4,1,1.0,1,400,6.077282428741455,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,23,4,2,0.541015625,0,600,17.081181049346924,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,28,4,0,1.0,1,400,10.606534004211426,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,28,4,1,1.0,1,400,10.955079317092896,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,28,4,2,0.51953125,0,600,15.483136177062988,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,33,4,0,1.0,1,400,11.52373719215393,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,33,4,1,1.0,1,400,11.50923228263855,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,33,4,2,0.548828125,0,600,17.875652551651,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,23,8,0,1.0,1,500,14.128048181533813,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
gru,last,distractors,23,8,1,1.0,1,300,7.340595006942749,wbz,"wbz_20260215_125146_distractors_gru_h[4, 8, 12, 16, 20]_poollast_seq23-33_n3_seed0-2"
