model,pooling,seq_len,hidden,P_success,mean_best_acc,std_best_acc,mean_steps
gru,last,15,4,1.0,1.0,0.0,333.3333333333333
gru,last,15,8,1.0,1.0,0.0,300.0
gru,last,15,12,1.0,1.0,0.0,300.0
gru,last,15,16,1.0,1.0,0.0,300.0
gru,last,20,4,1.0,1.0,0.0,400.0
gru,last,20,8,1.0,1.0,0.0,366.6666666666667
gru,last,20,12,1.0,1.0,0.0,300.0
gru,last,20,16,1.0,1.0,0.0,366.6666666666667
gru,last,25,4,0.6666666666666666,0.8404947916666666,0.276271124905192,500.0
gru,last,25,8,1.0,1.0,0.0,600.0
gru,last,25,12,1.0,1.0,0.0,300.0
gru,last,25,16,0.6666666666666666,0.8404947916666666,0.276271124905192,500.0
gru,last,30,4,0.6666666666666666,0.8411458333333334,0.27514348766068103,500.0
gru,last,30,8,0.3333333333333333,0.6868489583333334,0.27128289886056717,600.0
gru,last,30,12,0.6666666666666666,0.84375,0.2706329386826371,433.3333333333333
gru,last,30,16,0.3333333333333333,0.6822916666666666,0.27514348766068103,566.6666666666666
gru,last,35,4,0.6666666666666666,0.84375,0.2706329386826371,466.6666666666667
gru,last,35,8,0.0,0.5384114583333334,0.009230108645024611,600.0
gru,last,35,12,0.3333333333333333,0.6920572916666666,0.26677380634772824,533.3333333333334
gru,last,35,16,0.0,0.5390625,0.007042092334890604,600.0
gru,last,40,4,0.6666666666666666,0.8470052083333334,0.26499475246008214,600.0
gru,last,40,8,0.0,0.525390625,0.03585460888805824,600.0
gru,last,40,12,0.3333333333333333,0.6940104166666666,0.26499475246008214,566.6666666666666
gru,last,40,16,0.0,0.541015625,0.0,600.0
gru,last,45,4,0.6666666666666666,0.8372395833333334,0.281909311127747,600.0
gru,last,45,8,0.0,0.5279947916666666,0.014659284178642833,600.0
gru,last,45,12,0.0,0.5260416666666666,0.01127637244510987,600.0
gru,last,45,16,0.0,0.5240885416666666,0.007893460711576906,600.0
